Map level of detail,Crime Category,Totals and new cats,First aggragation,Incidents values,Date,Crime category selection,Station
Welbekend,Burglary at non-residential premises,Total property-related crime,Total property-related crime,20,01/01/2023,Total property-related crime,WELBEKEND
Sandringham,Burglary at non-residential premises,Total property-related crime,Total property-related crime,50,01/01/2023,Total property-related crime,SANDRINGHAM
Pretoria Moot,Burglary at non-residential premises,Total property-related crime,Total property-related crime,36,01/01/2023,Total property-related crime,PRETORIA MOOT
Wedela,Burglary at non-residential premises,Total property-related crime,Total property-related crime,20,01/01/2023,Total property-related crime,WEDELA
Reigerpark,Burglary at non-residential premises,Total property-related crime,Total property-related crime,27,01/01/2023,Total property-related crime,REIGERPARK
Zonkizizwe,Burglary at non-residential premises,Total property-related crime,Total property-related crime,11,01/01/2023,Total property-related crime,ZONKIZIZWE
Vaal Marina,Burglary at non-residential premises,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,VAAL MARINA
Jhb Central,Burglary at non-residential premises,Total property-related crime,Total property-related crime,459,01/01/2023,Total property-related crime,JHB CENTRAL
Kempton Park,Burglary at non-residential premises,Total property-related crime,Total property-related crime,248,01/01/2023,Total property-related crime,KEMPTON PARK
Krugersdorp,Burglary at non-residential premises,Total property-related crime,Total property-related crime,332,01/01/2023,Total property-related crime,KRUGERSDORP
Jeppe,Burglary at non-residential premises,Total property-related crime,Total property-related crime,185,01/01/2023,Total property-related crime,JEPPE
Orlando,Burglary at non-residential premises,Total property-related crime,Total property-related crime,65,01/01/2023,Total property-related crime,ORLANDO
Kliptown,Burglary at non-residential premises,Total property-related crime,Total property-related crime,51,01/01/2023,Total property-related crime,KLIPTOWN
Olievenhoutbosch,Burglary at non-residential premises,Total property-related crime,Total property-related crime,120,01/01/2023,Total property-related crime,OLIEVENHOUTBOSCH
Nigel,Burglary at non-residential premises,Total property-related crime,Total property-related crime,81,01/01/2023,Total property-related crime,NIGEL
Lenasia,Burglary at non-residential premises,Total property-related crime,Total property-related crime,125,01/01/2023,Total property-related crime,LENASIA
Kagiso,Burglary at non-residential premises,Total property-related crime,Total property-related crime,90,01/01/2023,Total property-related crime,KAGISO
Langlaagte,Burglary at non-residential premises,Total property-related crime,Total property-related crime,116,01/01/2023,Total property-related crime,LANGLAAGTE
Linden,Burglary at non-residential premises,Total property-related crime,Total property-related crime,81,01/01/2023,Total property-related crime,LINDEN
Orange Farms,Burglary at non-residential premises,Total property-related crime,Total property-related crime,101,01/01/2023,Total property-related crime,ORANGE FARMS
Loate,Burglary at non-residential premises,Total property-related crime,Total property-related crime,71,01/01/2023,Total property-related crime,LOATE
Kwa Thema,Burglary at non-residential premises,Total property-related crime,Total property-related crime,91,01/01/2023,Total property-related crime,KWA THEMA
Katlehong,Burglary at non-residential premises,Total property-related crime,Total property-related crime,55,01/01/2023,Total property-related crime,KATLEHONG
Olifantsfontein,Burglary at non-residential premises,Total property-related crime,Total property-related crime,64,01/01/2023,Total property-related crime,OLIFANTSFONTEIN
Naledi,Burglary at non-residential premises,Total property-related crime,Total property-related crime,30,01/01/2023,Total property-related crime,NALEDI
Muldersdrift,Burglary at non-residential premises,Total property-related crime,Total property-related crime,48,01/01/2023,Total property-related crime,MULDERSDRIFT
Norwood,Burglary at non-residential premises,Total property-related crime,Total property-related crime,69,01/01/2023,Total property-related crime,NORWOOD
Katlehong North,Burglary at non-residential premises,Total property-related crime,Total property-related crime,55,01/01/2023,Total property-related crime,KATLEHONG NORTH
Norkempark,Burglary at non-residential premises,Total property-related crime,Total property-related crime,52,01/01/2023,Total property-related crime,NORKEMPARK
Parkview,Burglary at non-residential premises,Total property-related crime,Total property-related crime,53,01/01/2023,Total property-related crime,PARKVIEW
Lenasia South,Burglary at non-residential premises,Total property-related crime,Total property-related crime,62,01/01/2023,Total property-related crime,LENASIA SOUTH
Khutsong,Burglary at non-residential premises,Total property-related crime,Total property-related crime,28,01/01/2023,Total property-related crime,KHUTSONG
Kliprivier,Burglary at non-residential premises,Total property-related crime,Total property-related crime,40,01/01/2023,Total property-related crime,KLIPRIVIER
Kameeldrift,Burglary at non-residential premises,Total property-related crime,Total property-related crime,75,01/01/2023,Total property-related crime,KAMEELDRIFT
Laudium,Burglary at non-residential premises,Total property-related crime,Total property-related crime,24,01/01/2023,Total property-related crime,LAUDIUM
Or Tambo Intern Airp,Burglary at non-residential premises,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,OR TAMBO INTERN AIRP
Mamelodi East,Murder,Total contact crime,Murder,77,01/01/2023,Total contact crime,MAMELODI EAST
Bekkersdal,Murder,Total contact crime,Murder,69,01/01/2023,Total contact crime,BEKKERSDAL
Meadowlands,Murder,Total contact crime,Murder,72,01/01/2023,Total contact crime,MEADOWLANDS
Benoni,Murder,Total contact crime,Murder,56,01/01/2023,Total contact crime,BENONI
Akasia,Murder,Total contact crime,Murder,50,01/01/2023,Total contact crime,AKASIA
Alberton,Murder,Total contact crime,Murder,59,01/01/2023,Total contact crime,ALBERTON
Boksburg,Murder,Total contact crime,Murder,43,01/01/2023,Total contact crime,BOKSBURG
Bramley,Murder,Total contact crime,Murder,33,01/01/2023,Total contact crime,BRAMLEY
Mabopane,Murder,Total contact crime,Murder,29,01/01/2023,Total contact crime,MABOPANE
Moffatview,Murder,Total contact crime,Murder,34,01/01/2023,Total contact crime,MOFFATVIEW
Actonville,Murder,Total contact crime,Murder,38,01/01/2023,Total contact crime,ACTONVILLE
Booysens,Murder,Total contact crime,Murder,40,01/01/2023,Total contact crime,BOOYSENS
Mamelodi,Murder,Total contact crime,Murder,24,01/01/2023,Total contact crime,MAMELODI
Midrand,Murder,Total contact crime,Murder,30,01/01/2023,Total contact crime,MIDRAND
Bronkhorstspruit,Murder,Total contact crime,Murder,18,01/01/2023,Total contact crime,BRONKHORSTSPRUIT
Boschkop,Murder,Total contact crime,Murder,17,01/01/2023,Total contact crime,BOSCHKOP
Mondeor,Murder,Total contact crime,Murder,26,01/01/2023,Total contact crime,MONDEOR
Meyerton,Murder,Total contact crime,Murder,26,01/01/2023,Total contact crime,MEYERTON
Brakpan,Murder,Total contact crime,Murder,33,01/01/2023,Total contact crime,BRAKPAN
Brixton,Murder,Total contact crime,Murder,12,01/01/2023,Total contact crime,BRIXTON
Magaliesburg,Murder,Total contact crime,Murder,4,01/01/2023,Total contact crime,MAGALIESBURG
Boipatong,Murder,Total contact crime,Murder,7,01/01/2023,Total contact crime,BOIPATONG
Boksburg North,Murder,Total contact crime,Murder,12,01/01/2023,Total contact crime,BOKSBURG NORTH
Brackendowns,Murder,Total contact crime,Murder,7,01/01/2023,Total contact crime,BRACKENDOWNS
Lyttelton,Murder,Total contact crime,Murder,9,01/01/2023,Total contact crime,LYTTELTON
Bedfordview,Murder,Total contact crime,Murder,6,01/01/2023,Total contact crime,BEDFORDVIEW
Brooklyn,Murder,Total contact crime,Murder,9,01/01/2023,Total contact crime,BROOKLYN
Alexandra,Murder,Total contact crime,Murder,123,01/01/2023,Total contact crime,ALEXANDRA
Atteridgeville,Murder,Total contact crime,Murder,75,01/01/2023,Total contact crime,ATTERIDGEVILLE
Moroka,Murder,Total contact crime,Murder,105,01/01/2023,Total contact crime,MOROKA
Cosmo City,Murder,Total contact crime,Murder,21,01/01/2023,Total contact crime,COSMO CITY
Sunnyside,Murder,Total contact crime,Murder,14,01/01/2023,Total contact crime,SUNNYSIDE
Tarlton,Murder,Total contact crime,Murder,4,01/01/2023,Total contact crime,TARLTON
Temba,Murder,Total contact crime,Murder,58,01/01/2023,Total contact crime,TEMBA
Tembisa,Murder,Total contact crime,Murder,120,01/01/2023,Total contact crime,TEMBISA
Tembisa South,Murder,Total contact crime,Murder,67,01/01/2023,Total contact crime,TEMBISA SOUTH
The Barrage,Murder,Total contact crime,Murder,1,01/01/2023,Total contact crime,THE BARRAGE
Tokoza,Murder,Total contact crime,Murder,67,01/01/2023,Total contact crime,TOKOZA
Tsakane,Murder,Total contact crime,Murder,86,01/01/2023,Total contact crime,TSAKANE
Evaton,Murder,Total contact crime,Murder,102,01/01/2023,Total contact crime,EVATON
Hillbrow,Murder,Total contact crime,Murder,155,01/01/2023,Total contact crime,HILLBROW
Eldorado Park,Murder,Total contact crime,Murder,89,01/01/2023,Total contact crime,ELDORADO PARK
Ennerdale,Murder,Total contact crime,Murder,94,01/01/2023,Total contact crime,ENNERDALE
Germiston,Murder,Total contact crime,Murder,95,01/01/2023,Total contact crime,GERMISTON
Edenpark,Murder,Total contact crime,Murder,71,01/01/2023,Total contact crime,EDENPARK
De Deur,Murder,Total contact crime,Murder,105,01/01/2023,Total contact crime,DE DEUR
Diepsloot,Murder,Total contact crime,Murder,95,01/01/2023,Total contact crime,DIEPSLOOT
Dawn Park,Murder,Total contact crime,Murder,76,01/01/2023,Total contact crime,DAWN PARK
Cleveland,Murder,Total contact crime,Murder,87,01/01/2023,Total contact crime,CLEVELAND
Dobsonville,Murder,Total contact crime,Murder,68,01/01/2023,Total contact crime,DOBSONVILLE
Daveyton,Murder,Total contact crime,Murder,77,01/01/2023,Total contact crime,DAVEYTON
Honeydew,Murder,Total contact crime,Murder,69,01/01/2023,Total contact crime,HONEYDEW
Doornkop,Murder,Total contact crime,Murder,50,01/01/2023,Total contact crime,DOORNKOP
Etwatwa,Murder,Total contact crime,Murder,45,01/01/2023,Total contact crime,ETWATWA
Diepkloof,Murder,Total contact crime,Murder,73,01/01/2023,Total contact crime,DIEPKLOOF
Carletonville,Murder,Total contact crime,Murder,55,01/01/2023,Total contact crime,CARLETONVILLE
Ga-Rankuwa,Murder,Total contact crime,Murder,43,01/01/2023,Total contact crime,GA-RANKUWA
Florida,Murder,Total contact crime,Murder,50,01/01/2023,Total contact crime,FLORIDA
Elsburg,Murder,Total contact crime,Murder,50,01/01/2023,Total contact crime,ELSBURG
Crystalpark,Murder,Total contact crime,Murder,56,01/01/2023,Total contact crime,CRYSTALPARK
Duduza,Murder,Total contact crime,Murder,29,01/01/2023,Total contact crime,DUDUZA
Douglasdale,Murder,Total contact crime,Murder,31,01/01/2023,Total contact crime,DOUGLASDALE
Erasmia,Murder,Total contact crime,Murder,25,01/01/2023,Total contact crime,ERASMIA
Hammanskraal,Murder,Total contact crime,Murder,11,01/01/2023,Total contact crime,HAMMANSKRAAL
Eersterust,Murder,Total contact crime,Murder,4,01/01/2023,Total contact crime,EERSTERUST
Fochville,Murder,Total contact crime,Murder,28,01/01/2023,Total contact crime,FOCHVILLE
Cullinan,Murder,Total contact crime,Murder,15,01/01/2023,Total contact crime,CULLINAN
Ekangala,Murder,Total contact crime,Murder,15,01/01/2023,Total contact crime,EKANGALA
Garsfontein,Murder,Total contact crime,Murder,8,01/01/2023,Total contact crime,GARSFONTEIN
Heidelberg (Gp),Murder,Total contact crime,Murder,11,01/01/2023,Total contact crime,HEIDELBERG (GP)
Hercules,Murder,Total contact crime,Murder,7,01/01/2023,Total contact crime,HERCULES
Dube,Murder,Total contact crime,Murder,6,01/01/2023,Total contact crime,DUBE
Devon,Murder,Total contact crime,Murder,7,01/01/2023,Total contact crime,DEVON
Edenvale,Murder,Total contact crime,Murder,2,01/01/2023,Total contact crime,EDENVALE
Dunnottar,Murder,Total contact crime,Murder,3,01/01/2023,Total contact crime,DUNNOTTAR
Fairland,Murder,Total contact crime,Murder,0,01/01/2023,Total contact crime,FAIRLAND
Hekpoort,Murder,Total contact crime,Murder,0,01/01/2023,Total contact crime,HEKPOORT
Kagiso,Murder,Total contact crime,Murder,160,01/01/2023,Total contact crime,KAGISO
Orange Farms,Murder,Total contact crime,Murder,164,01/01/2023,Total contact crime,ORANGE FARMS
Jhb Central,Murder,Total contact crime,Murder,162,01/01/2023,Total contact crime,JHB CENTRAL
Jeppe,Murder,Total contact crime,Murder,168,01/01/2023,Total contact crime,JEPPE
Kliptown,Murder,Total contact crime,Murder,74,01/01/2023,Total contact crime,KLIPTOWN
Olievenhoutbosch,Murder,Total contact crime,Murder,103,01/01/2023,Total contact crime,OLIEVENHOUTBOSCH
Lenasia South,Murder,Total contact crime,Murder,82,01/01/2023,Total contact crime,LENASIA SOUTH
Katlehong,Murder,Total contact crime,Murder,48,01/01/2023,Total contact crime,KATLEHONG
Katlehong North,Murder,Total contact crime,Murder,67,01/01/2023,Total contact crime,KATLEHONG NORTH
Orlando,Murder,Total contact crime,Murder,87,01/01/2023,Total contact crime,ORLANDO
Lenasia,Murder,Total contact crime,Murder,97,01/01/2023,Total contact crime,LENASIA
Loate,Murder,Total contact crime,Murder,50,01/01/2023,Total contact crime,LOATE
Krugersdorp,Murder,Total contact crime,Murder,39,01/01/2023,Total contact crime,KRUGERSDORP
Kwa Thema,Murder,Total contact crime,Murder,54,01/01/2023,Total contact crime,KWA THEMA
Langlaagte,Murder,Total contact crime,Murder,45,01/01/2023,Total contact crime,LANGLAAGTE
Khutsong,Murder,Total contact crime,Murder,26,01/01/2023,Total contact crime,KHUTSONG
Kempton Park,Murder,Total contact crime,Murder,27,01/01/2023,Total contact crime,KEMPTON PARK
Muldersdrift,Murder,Total contact crime,Murder,13,01/01/2023,Total contact crime,MULDERSDRIFT
Naledi,Murder,Total contact crime,Murder,11,01/01/2023,Total contact crime,NALEDI
Laudium,Murder,Total contact crime,Murder,22,01/01/2023,Total contact crime,LAUDIUM
Norkempark,Murder,Total contact crime,Murder,12,01/01/2023,Total contact crime,NORKEMPARK
Olifantsfontein,Murder,Total contact crime,Murder,24,01/01/2023,Total contact crime,OLIFANTSFONTEIN
Kameeldrift,Murder,Total contact crime,Murder,5,01/01/2023,Total contact crime,KAMEELDRIFT
Kliprivier,Murder,Total contact crime,Murder,18,01/01/2023,Total contact crime,KLIPRIVIER
Nigel,Murder,Total contact crime,Murder,13,01/01/2023,Total contact crime,NIGEL
Norwood,Murder,Total contact crime,Murder,0,01/01/2023,Total contact crime,NORWOOD
Linden,Murder,Total contact crime,Murder,10,01/01/2023,Total contact crime,LINDEN
Parkview,Murder,Total contact crime,Murder,3,01/01/2023,Total contact crime,PARKVIEW
Or Tambo Intern Airp,Murder,Total contact crime,Murder,0,01/01/2023,Total contact crime,OR TAMBO INTERN AIRP
Ivory Park,Murder,Total contact crime,Murder,166,01/01/2023,Total contact crime,IVORY PARK
Sebokeng,Murder,Total contact crime,Murder,75,01/01/2023,Total contact crime,SEBOKENG
Roodepoort,Murder,Total contact crime,Murder,83,01/01/2023,Total contact crime,ROODEPOORT
Randfontein,Murder,Total contact crime,Murder,71,01/01/2023,Total contact crime,RANDFONTEIN
Vosloorus,Murder,Total contact crime,Murder,84,01/01/2023,Total contact crime,VOSLOORUS
Primrose,Murder,Total contact crime,Murder,85,01/01/2023,Total contact crime,PRIMROSE
Rabie Ridge,Murder,Total contact crime,Murder,61,01/01/2023,Total contact crime,RABIE RIDGE
Jabulani,Murder,Total contact crime,Murder,59,01/01/2023,Total contact crime,JABULANI
Springs,Murder,Total contact crime,Murder,51,01/01/2023,Total contact crime,SPRINGS
Rietgat,Murder,Total contact crime,Murder,54,01/01/2023,Total contact crime,RIETGAT
Vanderbijlpark,Murder,Total contact crime,Murder,46,01/01/2023,Total contact crime,VANDERBIJLPARK
Protea,Murder,Total contact crime,Murder,57,01/01/2023,Total contact crime,PROTEA
Westonaria,Murder,Total contact crime,Murder,58,01/01/2023,Total contact crime,WESTONARIA
Yeoville,Murder,Total contact crime,Murder,28,01/01/2023,Total contact crime,YEOVILLE
Pretoria West,Murder,Total contact crime,Murder,34,01/01/2023,Total contact crime,PRETORIA WEST
Sophia Town,Murder,Total contact crime,Murder,46,01/01/2023,Total contact crime,SOPHIA TOWN
Soshanguve,Murder,Total contact crime,Murder,44,01/01/2023,Total contact crime,SOSHANGUVE
Putfontein,Murder,Total contact crime,Murder,36,01/01/2023,Total contact crime,PUTFONTEIN
Reigerpark,Murder,Total contact crime,Murder,47,01/01/2023,Total contact crime,REIGERPARK
Vereeniging,Murder,Total contact crime,Murder,29,01/01/2023,Total contact crime,VEREENIGING
Zonkizizwe,Murder,Total contact crime,Murder,27,01/01/2023,Total contact crime,ZONKIZIZWE
Pretoria Central,Murder,Total contact crime,Murder,20,01/01/2023,Total contact crime,PRETORIA CENTRAL
Ratanda,Murder,Total contact crime,Murder,21,01/01/2023,Total contact crime,RATANDA
Sharpeville,Murder,Total contact crime,Murder,19,01/01/2023,Total contact crime,SHARPEVILLE
Silverton,Murder,Total contact crime,Murder,25,01/01/2023,Total contact crime,SILVERTON
Sandringham,Murder,Total contact crime,Murder,21,01/01/2023,Total contact crime,SANDRINGHAM
Pretoria North,Murder,Total contact crime,Murder,6,01/01/2023,Total contact crime,PRETORIA NORTH
Wedela,Murder,Total contact crime,Murder,18,01/01/2023,Total contact crime,WEDELA
Sandton,Murder,Total contact crime,Murder,23,01/01/2023,Total contact crime,SANDTON
Villieria,Murder,Total contact crime,Murder,4,01/01/2023,Total contact crime,VILLIERIA
Wierdabrug,Murder,Total contact crime,Murder,11,01/01/2023,Total contact crime,WIERDABRUG
Randburg,Murder,Total contact crime,Murder,7,01/01/2023,Total contact crime,RANDBURG
Sinoville,Murder,Total contact crime,Murder,7,01/01/2023,Total contact crime,SINOVILLE
Pretoria Moot,Murder,Total contact crime,Murder,4,01/01/2023,Total contact crime,PRETORIA MOOT
Sebenza,Murder,Total contact crime,Murder,6,01/01/2023,Total contact crime,SEBENZA
Wonderboompoort,Murder,Total contact crime,Murder,0,01/01/2023,Total contact crime,WONDERBOOMPOORT
Welbekend,Murder,Total contact crime,Murder,3,01/01/2023,Total contact crime,WELBEKEND
Vaal Marina,Murder,Total contact crime,Murder,0,01/01/2023,Total contact crime,VAAL MARINA
Rosebank,Murder,Total contact crime,Murder,3,01/01/2023,Total contact crime,ROSEBANK
Alexandra,Common assault,Total contact crime,Common assault,1412,01/01/2023,Total contact crime,ALEXANDRA
Mamelodi East,Common assault,Total contact crime,Common assault,1124,01/01/2023,Total contact crime,MAMELODI EAST
Mamelodi,Common assault,Total contact crime,Common assault,732,01/01/2023,Total contact crime,MAMELODI
Moroka,Common assault,Total contact crime,Common assault,809,01/01/2023,Total contact crime,MOROKA
Meadowlands,Common assault,Total contact crime,Common assault,698,01/01/2023,Total contact crime,MEADOWLANDS
Akasia,Common assault,Total contact crime,Common assault,625,01/01/2023,Total contact crime,AKASIA
Booysens,Common assault,Total contact crime,Common assault,476,01/01/2023,Total contact crime,BOOYSENS
Mabopane,Common assault,Total contact crime,Common assault,516,01/01/2023,Total contact crime,MABOPANE
Benoni,Common assault,Total contact crime,Common assault,427,01/01/2023,Total contact crime,BENONI
Atteridgeville,Common assault,Total contact crime,Common assault,387,01/01/2023,Total contact crime,ATTERIDGEVILLE
Bronkhorstspruit,Common assault,Total contact crime,Common assault,386,01/01/2023,Total contact crime,BRONKHORSTSPRUIT
Midrand,Common assault,Total contact crime,Common assault,486,01/01/2023,Total contact crime,MIDRAND
Moffatview,Common assault,Total contact crime,Common assault,296,01/01/2023,Total contact crime,MOFFATVIEW
Mondeor,Common assault,Total contact crime,Common assault,371,01/01/2023,Total contact crime,MONDEOR
Alberton,Common assault,Total contact crime,Common assault,299,01/01/2023,Total contact crime,ALBERTON
Boksburg North,Common assault,Total contact crime,Common assault,338,01/01/2023,Total contact crime,BOKSBURG NORTH
Lyttelton,Common assault,Total contact crime,Common assault,302,01/01/2023,Total contact crime,LYTTELTON
Bramley,Common assault,Total contact crime,Common assault,252,01/01/2023,Total contact crime,BRAMLEY
Brakpan,Common assault,Total contact crime,Common assault,306,01/01/2023,Total contact crime,BRAKPAN
Bekkersdal,Common assault,Total contact crime,Common assault,220,01/01/2023,Total contact crime,BEKKERSDAL
Boksburg,Common assault,Total contact crime,Common assault,265,01/01/2023,Total contact crime,BOKSBURG
Brooklyn,Common assault,Total contact crime,Common assault,308,01/01/2023,Total contact crime,BROOKLYN
Brixton,Common assault,Total contact crime,Common assault,248,01/01/2023,Total contact crime,BRIXTON
Boschkop,Common assault,Total contact crime,Common assault,214,01/01/2023,Total contact crime,BOSCHKOP
Brackendowns,Common assault,Total contact crime,Common assault,186,01/01/2023,Total contact crime,BRACKENDOWNS
Bedfordview,Common assault,Total contact crime,Common assault,125,01/01/2023,Total contact crime,BEDFORDVIEW
Actonville,Common assault,Total contact crime,Common assault,108,01/01/2023,Total contact crime,ACTONVILLE
Meyerton,Common assault,Total contact crime,Common assault,125,01/01/2023,Total contact crime,MEYERTON
Magaliesburg,Common assault,Total contact crime,Common assault,71,01/01/2023,Total contact crime,MAGALIESBURG
Boipatong,Common assault,Total contact crime,Common assault,32,01/01/2023,Total contact crime,BOIPATONG
Cosmo City,Common assault,Total contact crime,Common assault,138,01/01/2023,Total contact crime,COSMO CITY
Sunnyside,Common assault,Total contact crime,Common assault,572,01/01/2023,Total contact crime,SUNNYSIDE
Tarlton,Common assault,Total contact crime,Common assault,60,01/01/2023,Total contact crime,TARLTON
Temba,Common assault,Total contact crime,Common assault,1352,01/01/2023,Total contact crime,TEMBA
Tembisa,Common assault,Total contact crime,Common assault,1056,01/01/2023,Total contact crime,TEMBISA
Tembisa South,Common assault,Total contact crime,Common assault,400,01/01/2023,Total contact crime,TEMBISA SOUTH
The Barrage,Common assault,Total contact crime,Common assault,20,01/01/2023,Total contact crime,THE BARRAGE
Tokoza,Common assault,Total contact crime,Common assault,205,01/01/2023,Total contact crime,TOKOZA
Tsakane,Common assault,Total contact crime,Common assault,448,01/01/2023,Total contact crime,TSAKANE
Eldorado Park,Common assault,Total contact crime,Common assault,965,01/01/2023,Total contact crime,ELDORADO PARK
Honeydew,Common assault,Total contact crime,Common assault,740,01/01/2023,Total contact crime,HONEYDEW
Hillbrow,Common assault,Total contact crime,Common assault,759,01/01/2023,Total contact crime,HILLBROW
Dobsonville,Common assault,Total contact crime,Common assault,732,01/01/2023,Total contact crime,DOBSONVILLE
Diepsloot,Common assault,Total contact crime,Common assault,644,01/01/2023,Total contact crime,DIEPSLOOT
Daveyton,Common assault,Total contact crime,Common assault,506,01/01/2023,Total contact crime,DAVEYTON
Douglasdale,Common assault,Total contact crime,Common assault,491,01/01/2023,Total contact crime,DOUGLASDALE
Ennerdale,Common assault,Total contact crime,Common assault,600,01/01/2023,Total contact crime,ENNERDALE
Diepkloof,Common assault,Total contact crime,Common assault,526,01/01/2023,Total contact crime,DIEPKLOOF
Evaton,Common assault,Total contact crime,Common assault,277,01/01/2023,Total contact crime,EVATON
Dawn Park,Common assault,Total contact crime,Common assault,435,01/01/2023,Total contact crime,DAWN PARK
Hercules,Common assault,Total contact crime,Common assault,503,01/01/2023,Total contact crime,HERCULES
Edenpark,Common assault,Total contact crime,Common assault,388,01/01/2023,Total contact crime,EDENPARK
Germiston,Common assault,Total contact crime,Common assault,406,01/01/2023,Total contact crime,GERMISTON
Florida,Common assault,Total contact crime,Common assault,440,01/01/2023,Total contact crime,FLORIDA
Etwatwa,Common assault,Total contact crime,Common assault,293,01/01/2023,Total contact crime,ETWATWA
Ga-Rankuwa,Common assault,Total contact crime,Common assault,388,01/01/2023,Total contact crime,GA-RANKUWA
Doornkop,Common assault,Total contact crime,Common assault,385,01/01/2023,Total contact crime,DOORNKOP
Cullinan,Common assault,Total contact crime,Common assault,355,01/01/2023,Total contact crime,CULLINAN
Eersterust,Common assault,Total contact crime,Common assault,338,01/01/2023,Total contact crime,EERSTERUST
Carletonville,Common assault,Total contact crime,Common assault,341,01/01/2023,Total contact crime,CARLETONVILLE
Cleveland,Common assault,Total contact crime,Common assault,283,01/01/2023,Total contact crime,CLEVELAND
Duduza,Common assault,Total contact crime,Common assault,249,01/01/2023,Total contact crime,DUDUZA
Hammanskraal,Common assault,Total contact crime,Common assault,325,01/01/2023,Total contact crime,HAMMANSKRAAL
Ekangala,Common assault,Total contact crime,Common assault,239,01/01/2023,Total contact crime,EKANGALA
Elsburg,Common assault,Total contact crime,Common assault,178,01/01/2023,Total contact crime,ELSBURG
Garsfontein,Common assault,Total contact crime,Common assault,189,01/01/2023,Total contact crime,GARSFONTEIN
De Deur,Common assault,Total contact crime,Common assault,207,01/01/2023,Total contact crime,DE DEUR
Edenvale,Common assault,Total contact crime,Common assault,149,01/01/2023,Total contact crime,EDENVALE
Fochville,Common assault,Total contact crime,Common assault,123,01/01/2023,Total contact crime,FOCHVILLE
Heidelberg (Gp),Common assault,Total contact crime,Common assault,117,01/01/2023,Total contact crime,HEIDELBERG (GP)
Erasmia,Common assault,Total contact crime,Common assault,74,01/01/2023,Total contact crime,ERASMIA
Dube,Common assault,Total contact crime,Common assault,17,01/01/2023,Total contact crime,DUBE
Crystalpark,Common assault,Total contact crime,Common assault,75,01/01/2023,Total contact crime,CRYSTALPARK
Fairland,Common assault,Total contact crime,Common assault,35,01/01/2023,Total contact crime,FAIRLAND
Devon,Common assault,Total contact crime,Common assault,38,01/01/2023,Total contact crime,DEVON
Dunnottar,Common assault,Total contact crime,Common assault,36,01/01/2023,Total contact crime,DUNNOTTAR
Hekpoort,Common assault,Total contact crime,Common assault,18,01/01/2023,Total contact crime,HEKPOORT
Kagiso,Common assault,Total contact crime,Common assault,957,01/01/2023,Total contact crime,KAGISO
Jhb Central,Common assault,Total contact crime,Common assault,724,01/01/2023,Total contact crime,JHB CENTRAL
Jeppe,Common assault,Total contact crime,Common assault,701,01/01/2023,Total contact crime,JEPPE
Orlando,Common assault,Total contact crime,Common assault,551,01/01/2023,Total contact crime,ORLANDO
Katlehong,Common assault,Total contact crime,Common assault,582,01/01/2023,Total contact crime,KATLEHONG
Kempton Park,Common assault,Total contact crime,Common assault,433,01/01/2023,Total contact crime,KEMPTON PARK
Lenasia,Common assault,Total contact crime,Common assault,440,01/01/2023,Total contact crime,LENASIA
Olievenhoutbosch,Common assault,Total contact crime,Common assault,333,01/01/2023,Total contact crime,OLIEVENHOUTBOSCH
Krugersdorp,Common assault,Total contact crime,Common assault,432,01/01/2023,Total contact crime,KRUGERSDORP
Kliptown,Common assault,Total contact crime,Common assault,396,01/01/2023,Total contact crime,KLIPTOWN
Loate,Common assault,Total contact crime,Common assault,351,01/01/2023,Total contact crime,LOATE
Kwa Thema,Common assault,Total contact crime,Common assault,410,01/01/2023,Total contact crime,KWA THEMA
Orange Farms,Common assault,Total contact crime,Common assault,242,01/01/2023,Total contact crime,ORANGE FARMS
Katlehong North,Common assault,Total contact crime,Common assault,378,01/01/2023,Total contact crime,KATLEHONG NORTH
Norkempark,Common assault,Total contact crime,Common assault,283,01/01/2023,Total contact crime,NORKEMPARK
Lenasia South,Common assault,Total contact crime,Common assault,256,01/01/2023,Total contact crime,LENASIA SOUTH
Naledi,Common assault,Total contact crime,Common assault,243,01/01/2023,Total contact crime,NALEDI
Langlaagte,Common assault,Total contact crime,Common assault,213,01/01/2023,Total contact crime,LANGLAAGTE
Khutsong,Common assault,Total contact crime,Common assault,224,01/01/2023,Total contact crime,KHUTSONG
Norwood,Common assault,Total contact crime,Common assault,231,01/01/2023,Total contact crime,NORWOOD
Kameeldrift,Common assault,Total contact crime,Common assault,140,01/01/2023,Total contact crime,KAMEELDRIFT
Linden,Common assault,Total contact crime,Common assault,161,01/01/2023,Total contact crime,LINDEN
Laudium,Common assault,Total contact crime,Common assault,115,01/01/2023,Total contact crime,LAUDIUM
Muldersdrift,Common assault,Total contact crime,Common assault,113,01/01/2023,Total contact crime,MULDERSDRIFT
Nigel,Common assault,Total contact crime,Common assault,147,01/01/2023,Total contact crime,NIGEL
Olifantsfontein,Common assault,Total contact crime,Common assault,95,01/01/2023,Total contact crime,OLIFANTSFONTEIN
Parkview,Common assault,Total contact crime,Common assault,61,01/01/2023,Total contact crime,PARKVIEW
Kliprivier,Common assault,Total contact crime,Common assault,25,01/01/2023,Total contact crime,KLIPRIVIER
